,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypesOfSteel_A300,TypesOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scratch,Stains,Dirtiness,Bumps,Other_Faults_(Class)
1,645,651,2538079.0,2538108.0,108.0,10.0,30.0,11397.0,84,123,1687,1,0,80,0.7647,0.3793,0.2069,0.0036,0.6,0.9667,1.0,2.0334,0.7782,1.4624,0.7931,-0.1756,0.2984,1,0,0,0,0,0,1
2,829,835,1553913.0,1553931.0,71.0,8.0,19.0,7972.0,99,125,1623,1,0,100,0.971,0.3426,0.3333,0.0037,0.75,0.9474,1.0,1.8513,0.7782,1.2553,0.6667,-0.1228,0.215,1,0,0,0,0,0,1
7,190,200,210936.0,210956.0,132.0,11.0,20.0,20007.0,124,172,1687,0,1,150,0.2253,0.34,0.5,0.0059,0.9091,1.0,1.0,2.1206,1.0,1.301,0.5,0.1841,0.3359,1,0,0,0,0,0,1
18,82,89,844704.0,844729.0,137.0,8.0,25.0,14907.0,92,126,1687,0,1,150,0.0972,0.2171,0.28,0.0041,0.875,1.0,1.0,2.1367,0.8451,1.3979,0.72,-0.1499,0.2998,1,0,0,0,0,0,1
19,1601,1613,21349.0,21376.0,209.0,15.0,27.0,24807.0,96,141,1687,0,1,200,0.0877,0.3549,0.4444,0.0071,0.8,1.0,1.0,2.3201,1.0792,1.4314,0.5556,-0.0727,0.5362,1,0,0,0,0,0,1
21,43,52,86284.0,86313.0,153.0,13.0,29.0,17753.0,101,134,1687,0,1,200,0.051,0.4138,0.3103,0.0053,0.6923,1.0,1.0,2.1847,0.9542,1.4624,0.6897,-0.0935,0.4317,1,0,0,0,0,0,1
22,63,72,115485.0,115504.0,106.0,10.0,19.0,13829.0,107,150,1687,0,1,200,0.0747,0.3801,0.4737,0.0053,0.9,1.0,1.0,2.0253,0.9542,1.2787,0.5263,0.0192,0.2942,1,0,0,0,0,0,1
24,75,84,184350.0,184383.0,201.0,17.0,35.0,27349.0,123,148,1687,0,1,200,0.0889,0.3232,0.2727,0.0053,0.5294,0.9429,1.0,2.3032,0.9542,1.5185,0.7273,0.063,0.4913,1,0,0,0,0,0,1
25,1363,1372,2128884.0,2128907.0,171.0,9.0,23.0,16645.0,77,111,1373,0,1,40,0.0015,0.1739,0.3913,0.0066,1.0,1.0,1.0,2.233,0.9542,1.3617,0.6087,-0.2395,0.3464,1,0,0,0,0,0,1
30,830,837,1874382.0,1874415.0,182.0,9.0,33.0,20751.0,99,132,1373,0,1,40,0.7808,0.2121,0.2121,0.0051,0.7778,1.0,1.0,2.2601,0.8451,1.5185,0.7879,-0.1093,0.3834,1,0,0,0,0,0,1
32,161,168,2891780.0,2891804.0,158.0,9.0,24.0,16680.0,80,119,1387,0,1,40,0.2322,0.0595,0.2917,0.005,0.7778,1.0,1.0,2.1987,0.8451,1.3802,0.7083,-0.1752,0.2901,1,0,0,0,0,0,1
33,1328,1338,2691161.0,2691189.0,214.0,10.0,28.0,19762.0,70,111,1387,0,1,50,0.0707,0.2357,0.3571,0.0072,1.0,1.0,1.0,2.3304,1.0,1.4472,0.6429,-0.2785,0.463,1,0,0,0,0,0,1
38,0,10,1701480.0,1701528.0,210.0,36.0,48.0,17413.0,73,100,1333,0,1,40,0.0,0.5625,0.2083,0.0075,0.2778,1.0,1.0,2.3222,1.0,1.6812,0.7917,-0.3522,0.7659,1,0,0,0,0,0,1
42,1545,1557,19815.0,19841.0,234.0,20.0,26.0,23207.0,66,124,1627,0,1,40,0.086,0.25,0.4615,0.0074,0.6,1.0,1.0,2.3692,1.0792,1.415,0.5385,-0.2252,0.5162,1,0,0,0,0,0,1
44,450,458,1009978.0,1009999.0,98.0,16.0,21.0,10784.0,96,132,1690,1,0,60,0.5325,0.4167,0.381,0.0047,0.5,1.0,1.0,1.9912,0.9031,1.3222,0.6191,-0.1403,0.2901,1,0,0,0,0,0,1
46,1495,1502,3509718.0,3509731.0,56.0,12.0,13.0,5587.0,85,116,1686,1,0,60,0.2183,0.3846,0.5385,0.0041,0.5833,1.0,1.0,1.7482,0.8451,1.1139,0.4615,-0.2206,0.1965,1,0,0,0,0,0,1
47,958,964,3550754.0,3550771.0,71.0,11.0,17.0,7502.0,91,124,1682,1,0,60,0.8537,0.3039,0.3529,0.0036,0.5454,1.0,1.0,1.8513,0.7782,1.2305,0.6471,-0.1745,0.2083,1,0,0,0,0,0,1
48,1536,1548,43036.0,43048.0,90.0,14.0,12.0,7525.0,67,100,1688,1,0,60,0.1659,0.375,1.0,0.0071,0.8571,1.0,0.5,1.9542,1.0792,1.0792,0.0,-0.3468,0.2583,1,0,0,0,0,0,1
49,780,787,1686880.0,1686891.0,55.0,9.0,11.0,6124.0,95,125,1690,1,0,60,0.9231,0.2857,0.6364,0.0041,0.7778,1.0,1.0,1.7404,0.8451,1.0414,0.3636,-0.1301,0.1822,1,0,0,0,0,0,1
50,1140,1147,2379116.0,2379129.0,58.0,9.0,13.0,6567.0,100,132,1690,1,0,60,0.6426,0.3626,0.5385,0.0041,0.7778,1.0,1.0,1.7634,0.8451,1.1139,0.4615,-0.1154,0.1965,1,0,0,0,0,0,1
52,11,20,2845229.0,2845256.0,182.0,20.0,27.0,16337.0,72,109,1688,1,0,60,0.013,0.251,0.3333,0.0053,0.45,1.0,1.0,2.2601,0.9542,1.4314,0.6667,-0.2987,0.4025,1,0,0,0,0,0,1
53,1589,1599,3826564.0,3826588.0,154.0,20.0,24.0,13678.0,69,108,1650,1,0,69,0.0618,0.3583,0.4167,0.0061,0.5,1.0,1.0,2.1875,1.0,1.3802,0.5833,-0.3061,0.3977,1,0,0,0,0,0,1
54,765,774,4157586.0,4157620.0,188.0,20.0,34.0,20528.0,95,125,1648,1,0,69,0.9284,0.3856,0.2647,0.0055,0.45,1.0,1.0,2.2742,0.9542,1.5315,0.7353,-0.1469,0.5063,1,0,0,0,0,0,1
57,1287,1299,1005865.0,1005895.0,184.0,25.0,30.0,18593.0,85,119,1650,1,0,100,0.4254,0.4889,0.4,0.0073,0.48,1.0,1.0,2.2648,1.0792,1.4771,0.6,-0.2106,0.5951,1,0,0,0,0,0,1
58,1088,1096,1094617.0,1094629.0,67.0,10.0,12.0,7416.0,94,132,1710,1,0,100,0.7181,0.3021,0.6667,0.0047,0.8,1.0,1.0,1.8261,0.9031,1.0792,0.3333,-0.1353,0.2018,1,0,0,0,0,0,1
59,1255,1261,718602.0,718617.0,64.0,10.0,15.0,7013.0,99,123,1360,1,0,100,0.1456,0.2889,0.4,0.0044,0.6,1.0,1.0,1.8062,0.7782,1.1761,0.6,-0.1439,0.1954,1,0,0,0,0,0,1
60,707,714,807870.0,807880.0,53.0,10.0,10.0,5039.0,81,111,1360,1,0,100,0.95,0.2429,0.7,0.0052,0.7,1.0,1.0,1.7243,0.8451,1.0,0.3,-0.2572,0.1753,1,0,0,0,0,0,1
61,1186,1193,238656.0,238667.0,60.0,10.0,11.0,6863.0,100,132,1362,1,0,120,0.2482,0.2208,0.6364,0.0051,0.7,1.0,1.0,1.7781,0.8451,1.0414,0.3636,-0.1064,0.1822,1,0,0,0,0,0,1
62,626,635,2071945.0,2071956.0,76.0,14.0,11.0,8063.0,84,126,1362,1,0,120,0.9192,0.2323,0.8182,0.0066,0.6429,1.0,1.0,1.8808,0.9542,1.0414,0.1818,-0.1712,0.2051,1,0,0,0,0,0,1
63,1503,1510,893849.0,893861.0,66.0,9.0,12.0,6625.0,87,118,1632,1,0,100,0.1495,0.2143,0.5833,0.0043,0.7778,1.0,1.0,1.8195,0.8451,1.0792,0.4167,-0.2158,0.1892,1,0,0,0,0,0,1
