2025-11-08 18:30:17,284 INFO    MainThread:98791 [wandb_init.py:setup_run_log_directory():706] Logging user logs to /Users/amalahmadinurov/Desktop/Subjects_ZS_2025/ZNEUS/zneus-project-1/wandb/run-20251108_183017-bl22of89/logs/debug.log
2025-11-08 18:30:17,286 INFO    MainThread:98791 [wandb_init.py:setup_run_log_directory():707] Logging internal logs to /Users/amalahmadinurov/Desktop/Subjects_ZS_2025/ZNEUS/zneus-project-1/wandb/run-20251108_183017-bl22of89/logs/debug-internal.log
2025-11-08 18:30:17,286 INFO    MainThread:98791 [wandb_init.py:monkeypatch_ipython():625] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x1356cc690>
2025-11-08 18:30:17,286 INFO    MainThread:98791 [wandb_init.py:init():833] calling init triggers
2025-11-08 18:30:17,286 INFO    MainThread:98791 [wandb_init.py:init():838] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-11-08 18:30:17,286 INFO    MainThread:98791 [wandb_init.py:init():881] starting backend
2025-11-08 18:30:17,286 INFO    MainThread:98791 [wandb_init.py:init():884] sending inform_init request
2025-11-08 18:30:17,293 INFO    MainThread:98791 [wandb_init.py:init():892] backend started and connected
2025-11-08 18:30:17,300 INFO    MainThread:98791 [wandb_run.py:_label_probe_notebook():1328] probe notebook
2025-11-08 18:30:17,301 INFO    MainThread:98791 [wandb_init.py:init():962] updated telemetry
2025-11-08 18:30:17,331 INFO    MainThread:98791 [wandb_init.py:init():986] communicating run to backend with 90.0 second timeout
2025-11-08 18:30:17,892 INFO    MainThread:98791 [wandb_init.py:init():1033] starting run threads in backend
2025-11-08 18:30:17,946 INFO    MainThread:98791 [wandb_run.py:_console_start():2506] atexit reg
2025-11-08 18:30:17,946 INFO    MainThread:98791 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-11-08 18:30:17,946 INFO    MainThread:98791 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-11-08 18:30:17,946 INFO    MainThread:98791 [wandb_run.py:_redirect():2446] Redirects installed.
2025-11-08 18:30:17,947 INFO    MainThread:98791 [wandb_init.py:init():1073] run started, returning control to user process
2025-11-08 18:30:17,947 INFO    MainThread:98791 [wandb_config.py:__setitem__():154] [no run ID] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x135bc42d0>>
2025-11-08 18:30:17,947 INFO    MainThread:98791 [wandb_run.py:_config_callback():1390] config_cb batch_size 32 None
2025-11-08 18:30:17,947 INFO    MainThread:98791 [wandb_config.py:__setitem__():154] [no run ID] config set learning_rate = 0.001 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x135bc42d0>>
2025-11-08 18:30:17,947 INFO    MainThread:98791 [wandb_run.py:_config_callback():1390] config_cb learning_rate 0.001 None
2025-11-08 18:30:17,948 INFO    MainThread:98791 [wandb_config.py:__setitem__():154] [no run ID] config set max_epochs = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x135bc42d0>>
2025-11-08 18:30:17,948 INFO    MainThread:98791 [wandb_run.py:_config_callback():1390] config_cb max_epochs 50 None
2025-11-08 18:30:17,948 INFO    MainThread:98791 [wandb_config.py:__setitem__():154] [no run ID] config set desc = MLP: (512, ReLU) (256, ReLU) (1) - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x135bc42d0>>
2025-11-08 18:30:17,948 INFO    MainThread:98791 [wandb_run.py:_config_callback():1390] config_cb desc MLP: (512, ReLU) (256, ReLU) (1) None
2025-11-08 18:30:17,948 INFO    MainThread:98791 [wandb_config.py:__setitem__():154] [no run ID] config set loss_function = BinaryCrossentropy with logits - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x135bc42d0>>
2025-11-08 18:30:17,948 INFO    MainThread:98791 [wandb_run.py:_config_callback():1390] config_cb loss_function BinaryCrossentropy with logits None
2025-11-08 18:30:17,948 INFO    MainThread:98791 [wandb_config.py:__setitem__():154] [no run ID] config set reduce_lr_patience = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x135bc42d0>>
2025-11-08 18:30:17,948 INFO    MainThread:98791 [wandb_run.py:_config_callback():1390] config_cb reduce_lr_patience 10 None
2025-11-08 18:30:17,948 INFO    MainThread:98791 [wandb_config.py:__setitem__():154] [no run ID] config set early_stopping_patience = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x135bc42d0>>
2025-11-08 18:30:17,948 INFO    MainThread:98791 [wandb_run.py:_config_callback():1390] config_cb early_stopping_patience 10 None
2025-11-08 18:30:17,948 INFO    MainThread:98791 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:30:17,953 INFO    MainThread:98791 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:30:17,953 INFO    MainThread:98791 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:30:17,954 INFO    MainThread:98791 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:30:17,957 INFO    MainThread:98791 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:30:17,957 INFO    MainThread:98791 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:30:17,967 INFO    MainThread:98791 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:30:17,970 INFO    MainThread:98791 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:30:17,970 INFO    MainThread:98791 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:30:17,971 INFO    MainThread:98791 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:30:17,974 INFO    MainThread:98791 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:30:17,975 INFO    MainThread:98791 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:30:17,975 INFO    MainThread:98791 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:30:17,981 INFO    MainThread:98791 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:30:17,981 INFO    MainThread:98791 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:30:17,983 INFO    MainThread:98791 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
